Uid,Pid,Time
14,1500,2012-04-03 14:00
678,5113,2012-04-03 14:00
1007,4147,2012-04-03 14:02
664,4642,2012-04-03 14:03
573,4659,2012-04-03 14:04
28,447,2012-04-03 14:06
537,2265,2012-04-03 14:08
324,2841,2012-04-03 14:09
323,3657,2012-04-03 14:09
197,503,2012-04-03 14:10
39,3781,2012-04-03 14:10
352,65,2012-04-03 14:11
510,3645,2012-04-03 14:12
691,977,2012-04-03 14:13
233,2874,2012-04-03 14:13
573,3361,2012-04-03 14:14
1018,2541,2012-04-03 14:14
3,1415,2012-04-03 14:14
429,3358,2012-04-03 14:15
903,3966,2012-04-03 14:15
708,4049,2012-04-03 14:16
39,2667,2012-04-03 14:16
281,2316,2012-04-03 14:16
111,18,2012-04-03 14:17
686,187,2012-04-03 14:18
854,2429,2012-04-03 14:19
854,2429,2012-04-03 14:19
111,3666,2012-04-03 14:19
76,2389,2012-04-03 14:19
199,864,2012-04-03 14:24
76,2726,2012-04-03 14:24
619,2918,2012-04-03 14:26
359,3328,2012-04-03 14:27
20,2752,2012-04-03 14:33
20,1209,2012-04-03 14:34
975,2901,2012-04-03 14:35
1056,3370,2012-04-03 14:36
512,2327,2012-04-03 14:37
202,601,2012-04-03 14:39
627,1788,2012-04-03 14:39
229,681,2012-04-03 14:39
805,3184,2012-04-03 14:42
39,4521,2012-04-03 14:44
266,2972,2012-04-03 14:47
748,2316,2012-04-03 14:49
544,4484,2012-04-03 14:51
413,3196,2012-04-03 14:52
850,3321,2012-04-03 14:55
691,4396,2012-04-03 14:56
1005,4723,2012-04-03 14:57
961,896,2012-04-03 14:57
1071,734,2012-04-03 14:58
250,199,2012-04-03 15:00
266,428,2012-04-03 15:00
204,2721,2012-04-03 15:01
759,3144,2012-04-03 15:01
895,2800,2012-04-03 15:01
732,1060,2012-04-03 15:03
777,2680,2012-04-03 15:03
1014,1969,2012-04-03 15:07
25,692,2012-04-03 15:08
544,1621,2012-04-03 15:09
313,770,2012-04-03 15:11
663,693,2012-04-03 15:14
351,3249,2012-04-03 15:14
313,4284,2012-04-03 15:14
313,1107,2012-04-03 15:15
193,2090,2012-04-03 15:15
947,2346,2012-04-03 15:18
303,2795,2012-04-03 15:19
116,4167,2012-04-03 15:20
39,557,2012-04-03 15:20
788,2223,2012-04-03 15:21
116,1865,2012-04-03 15:21
478,3904,2012-04-03 15:21
243,3264,2012-04-03 15:24
126,1051,2012-04-03 15:25
1066,111,2012-04-03 15:26
504,3438,2012-04-03 15:29
504,1186,2012-04-03 15:29
891,1735,2012-04-03 15:29
552,4917,2012-04-03 15:30
914,626,2012-04-03 15:33
31,1175,2012-04-03 15:33
141,2744,2012-04-03 15:33
823,838,2012-04-03 15:35
140,4925,2012-04-03 15:36
498,2327,2012-04-03 15:36
778,3272,2012-04-03 15:37
1018,615,2012-04-03 15:38
843,5083,2012-04-03 15:38
414,4422,2012-04-03 15:40
910,3421,2012-04-03 15:40
604,390,2012-04-03 15:42
293,608,2012-04-03 15:43
406,4480,2012-04-03 15:45
1073,3500,2012-04-03 15:47
1061,1168,2012-04-03 15:48
859,2017,2012-04-03 15:50
202,2489,2012-04-03 15:50
326,5110,2012-04-03 15:50
818,4250,2012-04-03 15:51
819,2595,2012-04-03 15:54
150,2846,2012-04-03 15:54
947,4997,2012-04-03 15:54
593,3207,2012-04-03 15:54
483,920,2012-04-03 15:57
483,2191,2012-04-03 15:58
883,1367,2012-04-03 15:59
406,4490,2012-04-03 16:00
671,693,2012-04-03 16:01
962,997,2012-04-03 16:03
281,4320,2012-04-03 16:04
961,4183,2012-04-03 16:04
384,539,2012-04-03 16:05
384,539,2012-04-03 16:05
459,5054,2012-04-03 16:05
550,2122,2012-04-03 16:05
746,3906,2012-04-03 16:07
406,4678,2012-04-03 16:07
478,5122,2012-04-03 16:07
153,1408,2012-04-03 16:08
358,517,2012-04-03 16:08
831,1821,2012-04-03 16:09
105,4975,2012-04-03 16:10
105,1958,2012-04-03 16:11
140,4974,2012-04-03 16:11
789,2155,2012-04-03 16:11
459,1007,2012-04-03 16:11
789,2063,2012-04-03 16:11
150,2681,2012-04-03 16:11
789,4102,2012-04-03 16:15
976,3903,2012-04-03 16:18
547,1958,2012-04-03 16:21
450,4853,2012-04-03 16:21
140,4782,2012-04-03 16:23
498,3509,2012-04-03 16:26
271,3034,2012-04-03 16:26
631,15,2012-04-03 16:27
805,2826,2012-04-03 16:27
504,950,2012-04-03 16:27
725,2101,2012-04-03 16:27
20,207,2012-04-03 16:29
1035,4667,2012-04-03 16:32
533,2786,2012-04-03 16:34
1013,3492,2012-04-03 16:38
459,2262,2012-04-03 16:38
195,437,2012-04-03 16:39
896,1637,2012-04-03 16:40
211,2173,2012-04-03 16:41
146,3176,2012-04-03 16:42
126,466,2012-04-03 16:43
887,2481,2012-04-03 16:45
322,899,2012-04-03 16:45
887,2481,2012-04-03 16:46
140,1748,2012-04-03 16:46
291,5040,2012-04-03 16:48
326,1700,2012-04-03 16:49
504,2261,2012-04-03 16:50
504,301,2012-04-03 16:50
1048,1218,2012-04-03 16:52
498,1255,2012-04-03 16:52
20,484,2012-04-03 16:54
1053,4464,2012-04-03 16:55
20,4385,2012-04-03 16:55
1053,3202,2012-04-03 16:55
20,45,2012-04-03 16:56
243,2204,2012-04-03 16:57
204,3207,2012-04-03 16:57
243,1162,2012-04-03 16:57
552,4917,2012-04-03 16:58
453,1188,2012-04-03 16:58
533,1241,2012-04-03 17:00
729,3564,2012-04-03 17:00
748,260,2012-04-03 17:00
955,2594,2012-04-03 17:01
812,4210,2012-04-03 17:02
20,2847,2012-04-03 17:02
140,1741,2012-04-03 17:03
339,2076,2012-04-03 17:09
703,3438,2012-04-03 17:10
687,1185,2012-04-03 17:12
774,925,2012-04-03 17:12
869,2229,2012-04-03 17:13
818,2088,2012-04-03 17:13
774,3053,2012-04-03 17:14
752,1543,2012-04-03 17:14
1056,541,2012-04-03 17:14
442,3653,2012-04-03 17:15
541,3956,2012-04-03 17:15
997,693,2012-04-03 17:16
39,2825,2012-04-03 17:17
739,2261,2012-04-03 17:18
794,3733,2012-04-03 17:21
680,2122,2012-04-03 17:24
155,2610,2012-04-03 17:24
155,2724,2012-04-03 17:26
1038,2527,2012-04-03 17:26
805,1913,2012-04-03 17:27
606,1784,2012-04-03 17:29
45,2556,2012-04-03 17:31
6,1681,2012-04-03 17:32
339,366,2012-04-03 17:32
365,4987,2012-04-03 17:33
181,4574,2012-04-03 17:33
841,4813,2012-04-03 17:33
478,3904,2012-04-03 17:34
339,708,2012-04-03 17:34
1013,1827,2012-04-03 17:34
886,4790,2012-04-03 17:35
852,2801,2012-04-03 17:35
424,2538,2012-04-03 17:36
1013,295,2012-04-03 17:36
554,3907,2012-04-03 17:37
526,4237,2012-04-03 17:38
240,1698,2012-04-03 17:38
530,223,2012-04-03 17:38
624,2933,2012-04-03 17:38
712,2185,2012-04-03 17:41
384,2060,2012-04-03 17:42
698,2221,2012-04-03 17:42
6,3384,2012-04-03 17:42
6,506,2012-04-03 17:43
187,1868,2012-04-03 17:44
811,4719,2012-04-03 17:44
505,3415,2012-04-03 17:44
995,3230,2012-04-03 17:46
805,3248,2012-04-03 17:48
93,953,2012-04-03 17:50
806,159,2012-04-03 17:50
1031,5071,2012-04-03 17:51
140,4144,2012-04-03 17:51
1031,3819,2012-04-03 17:51
619,238,2012-04-03 17:52
910,5005,2012-04-03 17:52
97,3744,2012-04-03 17:52
739,4801,2012-04-03 17:53
619,2758,2012-04-03 17:54
79,4824,2012-04-03 17:54
619,3038,2012-04-03 17:54
673,1309,2012-04-03 17:55
852,833,2012-04-03 17:55
684,1343,2012-04-03 17:55
684,3365,2012-04-03 17:56
271,2469,2012-04-03 17:56
271,2270,2012-04-03 17:56
414,4422,2012-04-03 17:57
671,2056,2012-04-03 17:57
453,3343,2012-04-03 17:58
232,796,2012-04-03 17:58
281,649,2012-04-03 17:59
942,189,2012-04-03 18:00
391,4600,2012-04-03 18:01
85,1709,2012-04-03 18:02
1044,309,2012-04-03 18:03
302,848,2012-04-03 18:03
907,4404,2012-04-03 18:04
805,2096,2012-04-03 18:05
574,1900,2012-04-03 18:05
390,1496,2012-04-03 18:06
1078,1914,2012-04-03 18:07
349,4741,2012-04-03 18:08
786,2175,2012-04-03 18:08
982,1788,2012-04-03 18:11
910,4268,2012-04-03 18:11
700,2974,2012-04-03 18:12
995,3096,2012-04-03 18:13
199,3728,2012-04-03 18:13
78,1181,2012-04-03 18:14
6,1448,2012-04-03 18:14
202,601,2012-04-03 18:15
587,4350,2012-04-03 18:16
741,1205,2012-04-03 18:16
483,1224,2012-04-03 18:18
107,4304,2012-04-03 18:18
1068,808,2012-04-03 18:18
654,671,2012-04-03 18:18
654,1556,2012-04-03 18:18
424,4372,2012-04-03 18:19
917,4631,2012-04-03 18:19
910,907,2012-04-03 18:19
765,1050,2012-04-03 18:20
439,2951,2012-04-03 18:21
765,4195,2012-04-03 18:21
1014,658,2012-04-03 18:23
965,3342,2012-04-03 18:24
505,59,2012-04-03 18:24
370,3207,2012-04-03 18:25
157,4832,2012-04-03 18:26
1018,3052,2012-04-03 18:28
213,610,2012-04-03 18:28
687,181,2012-04-03 18:29
896,2327,2012-04-03 18:29
687,2381,2012-04-03 18:29
1011,3207,2012-04-03 18:29
543,2142,2012-04-03 18:30
97,3173,2012-04-03 18:30
793,5047,2012-04-03 18:30
984,1670,2012-04-03 18:30
22,4739,2012-04-03 18:33
448,1958,2012-04-03 18:35
273,2862,2012-04-03 18:36
141,2774,2012-04-03 18:36
888,4638,2012-04-03 18:36
132,3070,2012-04-03 18:36
168,4151,2012-04-03 18:37
1007,4147,2012-04-03 18:37
91,382,2012-04-03 18:38
650,3516,2012-04-03 18:39
529,3106,2012-04-03 18:39
50,814,2012-04-03 18:40
466,4233,2012-04-03 18:41
389,4778,2012-04-03 18:44
389,2946,2012-04-03 18:44
909,3450,2012-04-03 18:45
517,2288,2012-04-03 18:45
260,2371,2012-04-03 18:45
1061,1490,2012-04-03 18:45
260,5114,2012-04-03 18:45
25,2679,2012-04-03 18:46
240,3712,2012-04-03 18:46
240,404,2012-04-03 18:46
260,313,2012-04-03 18:46
240,4495,2012-04-03 18:46
490,939,2012-04-03 18:47
895,2614,2012-04-03 18:48
779,1391,2012-04-03 18:49
836,863,2012-04-03 18:49
687,5011,2012-04-03 18:50
687,1739,2012-04-03 18:50
242,3770,2012-04-03 18:50
852,643,2012-04-03 18:51
8,751,2012-04-03 18:52
787,3832,2012-04-03 18:53
554,1437,2012-04-03 18:53
481,2890,2012-04-03 18:53
260,2214,2012-04-03 18:54
260,4208,2012-04-03 18:54
995,1180,2012-04-03 18:54
320,793,2012-04-03 18:54
142,18,2012-04-03 18:55
455,336,2012-04-03 18:57
540,571,2012-04-03 18:58
167,691,2012-04-03 18:59
995,712,2012-04-03 19:00
369,4228,2012-04-03 19:02
1061,3394,2012-04-03 19:02
114,3430,2012-04-03 19:03
452,3842,2012-04-03 19:04
162,3430,2012-04-03 19:04
230,2492,2012-04-03 19:04
364,1705,2012-04-03 19:05
108,4844,2012-04-03 19:06
320,4058,2012-04-03 19:06
687,2260,2012-04-03 19:06
850,2949,2012-04-03 19:07
836,308,2012-04-03 19:08
625,4292,2012-04-03 19:08
887,2481,2012-04-03 19:09
798,1294,2012-04-03 19:10
300,5058,2012-04-03 19:10
501,691,2012-04-03 19:11
470,2206,2012-04-03 19:13
331,125,2012-04-03 19:13
272,2163,2012-04-03 19:13
644,193,2012-04-03 19:13
657,2003,2012-04-03 19:13
657,4286,2012-04-03 19:14
262,4447,2012-04-03 19:14
1024,4474,2012-04-03 19:14
429,4732,2012-04-03 19:15
811,675,2012-04-03 19:15
510,4650,2012-04-03 19:15
1018,4682,2012-04-03 19:16
510,2387,2012-04-03 19:16
153,2811,2012-04-03 19:17
399,4836,2012-04-03 19:17
207,4057,2012-04-03 19:21
847,2936,2012-04-03 19:21
691,3290,2012-04-03 19:22
392,604,2012-04-03 19:22
262,4267,2012-04-03 19:22
320,3889,2012-04-03 19:22
162,2327,2012-04-03 19:24
705,429,2012-04-03 19:27
977,429,2012-04-03 19:27
654,1140,2012-04-03 19:27
995,506,2012-04-03 19:27
76,3485,2012-04-03 19:27
777,1227,2012-04-03 19:28
155,740,2012-04-03 19:28
80,2764,2012-04-03 19:29
126,3490,2012-04-03 19:30
1075,2543,2012-04-03 19:30
6,2630,2012-04-03 19:30
95,526,2012-04-03 19:30
698,3351,2012-04-03 19:32
399,2261,2012-04-03 19:33
1069,2103,2012-04-03 19:37
798,1802,2012-04-03 19:37
1070,4012,2012-04-03 19:39
171,4543,2012-04-03 19:39
17,4821,2012-04-03 19:40
93,2183,2012-04-03 19:42
910,540,2012-04-03 19:42
995,1940,2012-04-03 19:43
1014,2391,2012-04-03 19:43
39,4849,2012-04-03 19:44
4,4348,2012-04-03 19:45
6,3735,2012-04-03 19:45
910,2591,2012-04-03 19:46
676,308,2012-04-03 19:48
319,2829,2012-04-03 19:48
676,2384,2012-04-03 19:48
58,429,2012-04-03 19:48
132,2800,2012-04-03 19:48
629,1811,2012-04-03 19:49
6,4306,2012-04-03 19:50
8,1504,2012-04-03 19:50
659,1680,2012-04-03 19:50
659,1680,2012-04-03 19:50
929,2940,2012-04-03 19:51
424,1923,2012-04-03 19:51
292,592,2012-04-03 19:51
6,1472,2012-04-03 19:51
397,821,2012-04-03 19:52
944,1316,2012-04-03 19:54
420,834,2012-04-03 19:54
4,4655,2012-04-03 19:56
374,3768,2012-04-03 19:56
458,2962,2012-04-03 19:59
904,3892,2012-04-03 19:59
902,2543,2012-04-03 20:01
638,1868,2012-04-03 20:02
1030,1256,2012-04-03 20:03
886,1296,2012-04-03 20:03
110,236,2012-04-03 20:03
678,2318,2012-04-03 20:03
640,2653,2012-04-03 20:04
886,2242,2012-04-03 20:04
359,4398,2012-04-03 20:06
6,3083,2012-04-03 20:07
22,287,2012-04-03 20:09
698,1964,2012-04-03 20:09
67,725,2012-04-03 20:09
197,3910,2012-04-03 20:09
92,2491,2012-04-03 20:10
20,4070,2012-04-03 20:11
583,1597,2012-04-03 20:13
43,1451,2012-04-03 20:13
749,1111,2012-04-03 20:13
266,2317,2012-04-03 20:13
911,2936,2012-04-03 20:14
462,2597,2012-04-03 20:14
20,4216,2012-04-03 20:15
52,2746,2012-04-03 20:15
911,125,2012-04-03 20:15
1023,4013,2012-04-03 20:17
739,751,2012-04-03 20:18
374,3987,2012-04-03 20:19
14,4786,2012-04-03 20:19
126,2593,2012-04-03 20:19
374,3440,2012-04-03 20:19
374,1167,2012-04-03 20:21
867,3794,2012-04-03 20:23
910,2813,2012-04-03 20:23
827,319,2012-04-03 20:24
121,2525,2012-04-03 20:25
1035,72,2012-04-03 20:26
343,4075,2012-04-03 20:27
1014,4420,2012-04-03 20:27
1010,4096,2012-04-03 20:28
622,3511,2012-04-03 20:28
722,3608,2012-04-03 20:29
153,4868,2012-04-03 20:30
392,203,2012-04-03 20:30
251,300,2012-04-03 20:32
852,1892,2012-04-03 20:32
897,3430,2012-04-03 20:33
676,88,2012-04-03 20:33
451,1055,2012-04-03 20:33
961,896,2012-04-03 20:34
630,4973,2012-04-03 20:34
758,259,2012-04-03 20:34
162,917,2012-04-03 20:35
1004,3727,2012-04-03 20:36
693,4097,2012-04-03 20:37
765,2141,2012-04-03 20:38
1061,5113,2012-04-03 20:39
22,3021,2012-04-03 20:39
976,1168,2012-04-03 20:40
84,3277,2012-04-03 20:40
84,1032,2012-04-03 20:40
639,198,2012-04-03 20:42
693,1810,2012-04-03 20:42
722,1794,2012-04-03 20:44
324,4970,2012-04-03 20:44
1061,3941,2012-04-03 20:45
680,2122,2012-04-03 20:46
1061,3551,2012-04-03 20:47
331,1309,2012-04-03 20:49
430,3235,2012-04-03 20:51
886,3340,2012-04-03 20:52
354,3736,2012-04-03 20:52
273,4927,2012-04-03 20:53
561,3207,2012-04-03 20:54
984,1574,2012-04-03 20:55
355,3335,2012-04-03 20:56
644,1320,2012-04-03 20:56
722,2701,2012-04-03 20:56
817,2501,2012-04-03 20:57
275,2815,2012-04-03 20:58
458,2962,2012-04-03 21:00
619,2918,2012-04-03 21:00
584,706,2012-04-03 21:01
424,3303,2012-04-03 21:01
606,236,2012-04-03 21:01
1053,1913,2012-04-03 21:04
761,4528,2012-04-03 21:05
193,2603,2012-04-03 21:05
291,3002,2012-04-03 21:06
722,3207,2012-04-03 21:09
406,4480,2012-04-03 21:10
626,1273,2012-04-03 21:10
22,1077,2012-04-03 21:11
408,4786,2012-04-03 21:11
11,3105,2012-04-03 21:12
331,808,2012-04-03 21:13
722,3207,2012-04-03 21:13
758,2529,2012-04-03 21:13
973,4729,2012-04-03 21:14
490,2816,2012-04-03 21:16
687,4277,2012-04-03 21:17
687,2397,2012-04-03 21:18
687,3773,2012-04-03 21:18
687,113,2012-04-03 21:19
722,3173,2012-04-03 21:20
940,795,2012-04-03 21:21
75,3511,2012-04-03 21:24
199,780,2012-04-03 21:25
992,526,2012-04-03 21:26
386,440,2012-04-03 21:26
173,3943,2012-04-03 21:26
386,2430,2012-04-03 21:26
860,2168,2012-04-03 21:27
20,3069,2012-04-03 21:28
432,2843,2012-04-03 21:30
300,2987,2012-04-03 21:30
886,820,2012-04-03 21:31
866,177,2012-04-03 21:32
1070,1594,2012-04-03 21:37
379,2174,2012-04-03 21:38
253,2062,2012-04-03 21:39
721,2458,2012-04-03 21:40
1006,2730,2012-04-03 21:42
722,1932,2012-04-03 21:42
989,3308,2012-04-03 21:42
676,428,2012-04-03 21:44
787,4049,2012-04-03 21:45
940,3923,2012-04-03 21:47
479,2905,2012-04-03 21:47
369,1090,2012-04-03 21:47
197,2671,2012-04-03 21:47
722,2005,2012-04-03 21:48
